,name,text
75,Black Currant Bourbon Pancake,"Mead with Black Currants, Toasted Marshmallows, Maple Syrup, Cinnamon, Bourbon Soaked Oak Chips, and Natural Flavors"
76,The Statement,"An exploration of the depth of flavor that can be had in this dark-fleshed cherry which originated in Hungary. The Statement pairs well with grilled pork,… Read More"
77,Black Agnes,"""Black"" Agnes Randolph successfully defended the Scottish Castle of Dunbar from a five-month siege by William Montague, the Earl of Salisbury. Black Agnes… Read More"
78,Raspberry,"Schramm’s Raspberry is a raspberry mead made from whole Michigan raspberries and Orange Blossom honey purchased directly from Fruitwood Orchards, a New… Read More"
79,Blackberry,"Schramm's Blackberry Mead is made with raw, unfiltered honey and whole blackberries. It is an intensely fruity, medium sweet melomel with vanilla and… Read More"
80,Red Agnes,
81,Nutmeg,"Schramm’s Nutmeg utilizes the seed of a tropical evergreen, Myristica fragrans, native to the islands of Indonesia. Its aroma is warm, creamy and full-bodied,… Read More"
82,Ginger,"This signature mead is flavored with pure, grated ginger root and 100% natural California Orange Blossom Honey. It balances sweetness and acidity, with… Read More"
83,A Smile of Fortune,"A Smile of Fortune is a dark fruit melomel containing Black Currants, Lutowka Cherries, Heritage Red Raspberries and Oregon Boysenberries. Intensely bold… Read More"
84,The Heart Of Darkness,"The Heart of Darkness is perhaps the most highly sought after, hand-crafted honey wine in the world today. This melomel is crafted from Belgian dark,… Read More"
85,Amelia,"Sweet, tart, beautiful and well-balanced, Amelia is the most recent addition to our Schramm's Mead family. In the early 1880's Santa Cruz fruit breeder… Read More"
86,Marionberry,
87,Red Agnes (Batch 2),"Schramm's Red Agnes is more finely balanced and perceivably less sweet than her Scottish cousin, Black Agnes. Red Currants provide deep floral aromatics,… Read More"
88,Black Agnes (Batch 8),
89,Erik The Red,A delicious combination of tart Michigan cherries and raspberries.
90,The Rebuttal,The Statement aged on Mindo cocoa nibs and Madagascar vanilla beans in a bourbon barrel
91,Madeline (1st Birthday),Boysenberry melomel.
92,Heritage (Batch 3),"Schramm’s Heritage Raspberry is a cousin to our standard Raspberry melomel, made exclusively with Heritage raspberries, the same variety used in Schramm’s… Read More"
93,Madeline (3rd Birthday),
94,Peach,"Schramm's Peach is a medium body melomel with airy aromatic temperament. The creamy, smooth finish of this melomel pairs well with salads and mild fish… Read More"
95,Apple Reserve,
96,Sarah,"Sarah is the perfect combination of sweet and sass - the soft florality of ripe fruit, and the zesty twangs that give raspberries and cranberries their… Read More"
97,Lord Jim,"Lord Jim represents an evolution of flavor for Schramm’s Ginger mead. Aged in hand-selected bourbon barrels, this mead typifies pure ginger root and floral… Read More"
98,Cranberry,
99,The Statement Reserve,The Statement Reserve was conceived and crafted to be the purest embodiment of the Schaarbeek cherries and premium honey used in its creation. The deep… Read More
100,Black Heart,"Black raspberries combine the acidic tension of red raspberries with the deep, earthy character of blackberries. These hard to come by berries, quality… Read More"
101,S'Mortal Kombat,"Bourbon barrel aged imperial stout treated with graham crackers, chocolate, and marshmallows."
102,JBM 35,35 aged in Jamacan Blue Mountain coffee
103,Chocolate Bourbon Summation,Imperial vanilla coffee stout aged in bourbon barrel with cacao nibs
104,Big Sxxxy,Bourbon barrel aged barleywines brewed in memory of Javier Leal
105,Barrel Aged Imperial Double Scoop,"Imperial stout aged in 4 Roses bourbon barrel, then treated with vanilla, strawberry, and chocolate"
106,Hug Hug Kiss Kiss,Double chocolate bourbon barrel aged stout.
107,Boysen tha Hood,Berliner Weisse fermented with Boysenberry and Black currant
108,BA Scoop,Bourbon barrel aged imperial stout with neopolitan ice cream treatment.
109,Double Scoop,"Neapolitan ice cream Stout. Strawberry, Vanilla and Chocolate"
110,Summation,Bourbon Barrel Aged Imperial Vanilla Coffee stout.
111,Irie Vibes,"Pink Guava, passion fruit and hibiscus imperial Berliner"
112,Lumberjack Morning Break,Imperial Maple coffee stout aged in bourbon barrel.
113,Scoop à La Mode,"Our neapolitan ice cream imperial stout, aged in One Foot Cock Apple Brandy barrel"
114,White Oak Dopaliscious,New England style IPA aged on white oak.
115,PSL - Pumpkin spice Latte,
116,Kopi Summation,Bourbon barrel aged imperial vanilla Kopi Luwak coffee stout
117,Maple Massacre,Bourbon barrel aged maple coffee stout
118,Irish Winter,Irish coffee stout infused with Irish whiskey and Bailey's
119,El Padrino,"Bourbon barrel aged stout with cinnamon, vanilla bean, cacao nibs and habanero peppers added"
120,Dopaliscious,
121,Funk Me Sideways,"Oak aged Florida wild re-fermented with mango, guava and passion fruit"
122,PB King,Imperial Peanut Butter Chocolate Stout
123,Dank Ness Monster,The name says it all!
124,Lunch Box Brown,PBnJ Brown ale
125,En Barrique,A blend of our wild farmhouse ale and Berliner that was fermented with Boysenberries and Black Currants then aged in a red Bordeaux barrel with Montmorency… Read More
126,Merci (Blend #3),14% - Saison du Fermier that was fermented in French Oak with our Saison/local microflora mixed culture and then racked to and aged in a light toast American… Read More
127,Fuzzy (Blend #3),American Wild Ale fermented in Chardonnay barrels with spontaneous yeast and our house sour blend and aged with Missouri peaches. [Released 3/10/18] Read More
128,Blended 2017,A blend of the following: 2014 - A mash bill of 65% Pilsner and 35% Unmalted Wheat that was turbid-mashed and boiled for three hours with hop pellets.… Read More
129,Foedre Beer,Blond sour beer inoculated with wild MO yeast and bacteria aged in our 70hL french oak foedre. Only available at The Cellar on the hand pump. The foedre… Read More
130,Amis Pour Toujours (Blend #1),"Translates to Friends Forever and is a collaboration brewed with one of our closest and dearest friends, Brad Clark of Jackie O's Pub and Brewery in Athens,… Read More"
131,Jammy (Blend #1),"Jammy is a collaboration brewed with our friends at Casey Brewing and Blending in Glenwood Springs Colorado. Our shared admiration of layering fresh,… Read More"
132,Tête De Cuvée (Blend #1),"Tête de Cuvée is a blend of some of our finest and oldest wine barrel fermented and aged Saisons. Blend #1 contains Oude Fermier, Oude du Blé, and several… Read More"
133,La Bière de Fantaisie (Blend #1),La Bière de Fantaisie is a collaboration ale brewed with our friends at Off Color Brewing in Chicago. Our shared love of the farmhouse ales of Belgium… Read More
134,SpontanFermier,SpontanFermier is a blend of our Chardonnay barrel fermented and barrel aged Missouri Spelt Saison with Belgian Lambic from Mikkeller that is used in… Read More
135,Saison Du Fermier From Pinot Noir Puncheons (Blend# 1),"Saison du Fermier is the harmony of new and old. It is robust and has the paler color of modern Saisons, yet it is balanced with the brightness, depth,… Read More"
136,Saison du Blé (Blend #6),"Saison du Blé is the harmony of a fluffy Wheat Saison and a traditional, rustic Saison with Brettanomyces and Lactobacillus. The wheat balances a very… Read More"
137,Blackberry Bière du Pays,Blackberry Bière du Pays is our restrained approach to a fruited Saison. We added a thoughtful amount of Blackberries to our Bière du Pays to not cloud… Read More
138,Raspberry Bière du Pays,
139,Marietta Ave. (Blend #1),"Farmhouse Pale aged in French oak puncheons with Belgian saison yeast with Brett with citra, simcoe, & amarillo hops."
140,Saison du Blé (Blend #7),"Saison du Blé is the harmony of a fluffy Wheat Saison and a traditional, rustic Saison with Brettanomyces and Lactobacillus. The wheat balances a very… Read More"
141,Raspe,"Raspe is a blend of blond Missouri Wild Ales that were fermented entirely with our Missouri cultures and aged in French oak until maturity. At maturity,… Read More"
142,Thicket,Wine-Barrel Fermented Blended Missouri Wild Ale Aged on Blackberries.
143,Marietta Ave. (Blend #2),Farmhouse-Inspired Pale w/ Simcoe & Amarillo Hops Aged in French Oak Puncheons for 7 months
144,Rosé Du Blé (Blend #2),Rosé du Blé is our Wheat Saison that is fermented with wild Brettanomyces and Lactobacillus from our family’s farm and aged in our Missouri Oak Foedre.… Read More
145,Derivation (Blend #10),"Derivation Blend #10 shares the same recipe as Blend #5, it is an Imperial Oatmeal Stout that started as a recipe that I created almost 7 years ago. After… Read More"
146,Abricot du Fermier (Blend #3),"Abricot du Fermier is our delicate and aromatic Saison du Fermier aged with apricots in French Oak wine barrels. The brightness, depth, and rustic character… Read More"
147,Bretta Sang,Bretta Sang was brewed in collaboration with our friend and brewer Troy Meier. This sour ale is an exploration into pairing the bold flavors of Blood… Read More
148,Tête De Cuvée (Vintage 2015),"For the second release of Tête de Cuvée, I chose a blend that was 76.3% of Tête #2 that was fermented in and aged in the exact barrels that contained… Read More"
149,Smooth,"Smooth is our Missouri Wild Ale that was fermented in and aged in a French Oak foedre with Missouri microflora for 2 years. Once mature, it was racked… Read More"
150,Foedre Fermier (Blend #2),A limited expression of our Saison du Fermier that was fermented in and aged in a Medium-Toast Missouri Oak Foedre with our local microflora.
151,And the Sun Was Blue,
152,Fillmore East,"This bold American IPA begins with a simple malt bill of two-row barley and a hint of malted oats and wheat. Huge additions of Galaxy, Citra and Amarillo… Read More"
153,Key Performance Indicator (Hibiscus & Passionfruit),
154,Dipped In Moonlight,
155,Ladybug,
156,Against Better Judgement,
157,The Sky Was Yellow,
158,Reason Tatters (Coffee and Maple Syrup),
159,Fillmore West,
160,Reason Tatters (Mexican Pancake),
161,"Bean Me Up, Stouty!",
162,That's How Strong My Love Is,
163,"Low Hanging Fruit (Blackberry, Mango, Lime)",
164,Rye Barrel Reason Tatters (Vanilla),"Reason Tatters is a series of experimental stouts, exploring different processes and ingredients in a maniacal pursuit of the perfect stout. This stout… Read More"
165,Two Times the Lady,
166,And the Sun was Sapphire,
167,No Straw Required,
168,Drenched In Moonlight,
169,Bourbon Barrel Stout (Maple Syrup),
170,Double Chocolate Milk Stout,
171,Reason Tatters,
172,"Low Hanging Fruit (Guava, Mango, Citrus)",
173,Azaccattack,
174,Reason Tatters (Rum Barrel With Coconut),
175,Throw Convention To the Wind,
176,Reboog Vitis (Formerly Goober Vitis),"A Peanut Butter & Jelly inspired mead using Concord grapes and peanut butter.
Silver - Domras Cup 2017
People's Choice Winner - Hunahpu Day 2017 Read More"
177,Susy's Cherry Pie,"A Mead with tart cherries.
Silver - Domras Cup 2017"
178,Reboog Fraise (Formerly Goober Fraise),"A melomel made from orange blossom honey, fresh strawberries and peanut butter.
Gold - LIBME 2016"
179,Reboog Blue (Formerly Goober Blue),"A melomel made with wild blueberries, locally produced honey and a pile of peanuts."
180,Cilice,"A mead made with red currants, raspberries and Montmorency cherries aged on Four Roses bourbon staves."
181,Mead X,"A mead made with black currant, blackberries and tart cherries aged on vanilla beans."
182,Reboog Razz (formerly Goober Razz),A mead made with red raspberries and peanut butter.
183,Can't You Hear the Thunder?,"A pyment made with locally produced honey and a blend of Australian Cabernet, Shiraz and Merlot wine grapes. Best of Show Mead/Cider - Best Florida Beer… Read More"
184,Ol Lenurb Di Tamiami (Brunello Di Tamiami),A pyment made from Italian Brunello Sangiovese wine grapes and locally produced Florida honey. Silver - Texas Mead Cup 2016 Gold - Orpheus Mead Cup 2016… Read More
185,Thrilla In Bluenilla,A melomel made using wild blueberries rested on vanilla beans.
186,Four Legged Friends,"A melomel made of Aronia Berry, blueberry and cranberry with locally produced Florida honey."
187,Blue Waffles,"A mead made with locally produced honey, wild blueberries and vanilla beans finished with ultra dark maple syrup from Morse Farms in Vermont."
188,Reboog Noir (formerly Goober Noir),A melomel made with blackberries and peanut butter.
189,Blue Mountain,A coffee liquer inspired mead using locally produced honey and an absurd amount of Jamaican Blue Moutain coffee beans.
190,Bangkok,A mead made with Asian ginger and Thai butterfly pea blossom flowers.
191,SoFla Fruit Punch,"A tropical melomel mead made with mango, passionfruit, guanabana, guava and plantains plus Florida orange blossom honey. Aged on oak for a kiss of caramel… Read More"
192,Barrel Aged Mead X (Madeira),"A blackberry, black currant and cherry mead aged on vanilla beans in a Portuguese Malsmey Madeira barrel. 2nd Place - Best Beer - Hunahpu Day 2018. Read More"
193,Drop Bear,"They lurk among the trees. A ravenous carnivorous species of koalas known to drop down on their unsuspecting prey. Look up, stay alive. A sweet pyment… Read More"
194,Pinon,A taste of the desert Southwest. Mesquite blossom honey and New Mexico Pinon coffee beans collide for a intense bean experience.
195,Reboog Guayaba,"A taste of Tampa and South Florida.
A peanut butter and jelly concept using pink guava."
196,Barrel Aged Reboog Vitis (Rye),A grape peanut butter and jelly mead aged in a rye whiskey barrel.
197,95 Cab Ride,"A Cabernet inspired dry mead using Blueberries, Blackberries, Black Currants and Cherries aged on French Oak for a red wine like experience."
198,Ripcurrant,"A mead made with a blend of red currants and black currants.
Gold - Domras Cup 2017"
199,She Wore A Raspberry Bochet,"A bochet style mead with red raspberries.
Silver - Orpheus Mead Cup 2016"
200,Barrel Aged Reboog Vitis (Rum),A grape peanut butter and jelly mead aged in a rum barrel.
201,Barrel Aged Reboog Vitis (Bourbon),A grape peanut butter and jelly mead aged in a bourbon barrel.
202,Barrel Aged Vanilla Susy's,A cherry mead aged on vanilla beans and aged in a bourbon barrel.
203,Meadcoin,A sweet Traditional style mead using Meadowfoam honey.
204,Atacama,Named after the darkest place on Earth. The Atacama region of Chile is a favorite with astronomers and star gazers. Atacama is sweet black currant mead… Read More
205,Black Forest,A pyment hybrid inspired by the dessert of the same name. Australian Pinot Noir plus a blend of cherries meet freshly roasted cacao nibs for a decadent… Read More
206,Susy’s Cherry Pie (Batch Two - White Cap),A blend of European and American tart cherries combined with locally produced honey. 2018 Release.
207,Black Waffles,"A mead made with black currants, locally produced honey, accented with vanilla and a massive dose of maple."
208,"She Showed Me A Beach, Gave Me A Peach","The top is down, on the Black Corvette. We're going back to Cali. California peaches plus apricots from Spain. Fermented on Maker's Mark bourbon staves. Read More"
209,Goober Grape 2.0,"A Peanut Butter & Jelly melomel made with locally produced orange blossom honey. Gold - Mead Free or Die 2016
Silver - Meadllenium 2016"
210,#InsertStupidApplePunHere,"Pi or Pie? 3.14 Anyone? Enough with the apple puns already! Michigan apple cider meets locally produced honey, dates, demerara sugar from Guyana, muscovado… Read More"
211,Hondo,Meadowfoam honey meets coffee. Creamy vanilla meets dark roasted coffee. Fair trade organic coffee beans from Honduras freshly roasted for us by The Hemp… Read More
212,Barrel Aged Reboog Blue (Bourbon),A blueberry peanut butter and jelly mead aged in a bourbon barrel.
213,Our Buns Have No Seeds,"A mead made with red currants, black currants with white chocolate added."
214,Black Widow,"A blend of Double Black and Lady In Red. Black currant, blackberry, red currant, red raspberry, sweet cherry and Balaton cherry aged on Sazerac staves… Read More"
215,Thrilla In the Rye,A blueberry and vanilla melomel aged in a rye whiskey barrel for 7 months.
216,Barrel Aged Reboog Blue (Brandy),A blueberry peanut butter and jelly mead aged in a California Brandy barrel for 8 months.
217,Zamunda Forever (Batch Two),A sweet traditional style mead made from organic honey from Zamunda. Fermented on oak harvested from a mop handle used to disarm a would be robber at… Read More
218,Orange Blossom,A traditional mead made with locally produced Florida Orange Blossom honey.
219,The Pits,"A melomel made with a medley of peaches, apricots and nectarines.
Gold - Texas Mead Cup 2016
Gold - LIBME 2016
Best of Show - LIBME 2016"
220,Black Widow (Blue Label Batch Three),"A black currant, red currant, raspberry, blackberry and cherry mead with vanilla aged for 6 months in a California Brandy barrel."
221,New Oak Meadowfoam,A sweet traditional style mead made with Oregon Meadowfoam honey aged in a freshly charred oak barrel for 5 months.
222,Bourbon Barrel Blue Mountain,Coffee mead aged in bourbon barrels for 3 months.
223,Susy's Cherry Rye,A cherry melomel featuring a blend of imported and domestic cherries aged in a Rye Whiskey barrel for 3 months.
224,Meadowfoam,"A semi-sweet traditional style mead made from Oregon Meadowfoam honey.
Silver - Meadllenium 2016
Silver - Texas Mead Cup 2016"
225,Purple Waffles,"A melomel made using blackberries, raspberries and maple accented with a touch of vanilla."
226,Double Black,A melomel made of black currant and blackberry aged on oak.
227,Pina Con Citra,A melomel made with fresh pineapple and dry hopped with Citra hops.
228,Mesquite,A traditional mead made from Arizona mesquite blossom honey.
229,Just Apple,A cyser made with heirloom cider apple from Washington State.
230,Black Widow (Black Label Batch Two),"A mead made with black currant, red currant, blackberry, red raspberry and tart cherries aged on bourbon staves and vanilla beans. Bronze - Texas Mead… Read More"
231,Triple Black,"A melomel made with black currant, black cherry and blackberries aged on toasted oak."
232,Black Swan,"Black currant, BlackBerry, cherry mead with vanilla, aged 4 months in Apple brandy barrels."
233,Lady In Red,"A melomel made with orange blossom honey, raspberry, sweet cherry, tart cherry and red currant. Finished on vanilla beans and Sazerac soaked oak staves. Read More"
234,Marrakesh,"A Mediterranean inspired melomel made with orange blossom honey, pomegranates plus Morrocan tamarinds then sweetened with Lebanese date syrup."
235,Borealis,A sweet blackberry and raspberry melomel made with locally produced orange blossom honey and aged on French Oak.
236,Black Widow (Bourbon Staves),"Born during Hurricane Irma, the Black Widow features locally produced orange blossom honey, black currants, red currants, raspberries, blackberries and… Read More"
237,Honeybell Dreamsicle,A melomel made from orange blossom honey plus vanilla beans and freshly picked Honeybell oranges.
238,Key Lime Pie,"A melomel made with key limes, vanilla and graham crackers."
239,Cup of Whoa - Brazilian Roast,An orange blossom mead rested on Buddy Brew Coffee - Brazilian coffee beans.
240,Primitivo Di Tamiami,A pyment made with Italian Primitivo grapes
241,Avocado,A traditional mead made with Florida avocado blossom honey.
242,Blue Suede Shoes,"A honey wine made with caramelized honey, bananas, peanut butter and Ceylon cinnamon sweetened with bourbon barrel aged maple syrup."
243,Blackberry,A traditional style mead using blackberry blossom honey from the Pacific Northwest.
244,Tupelo,"A traditional mead made with Tupelo honey from the Florida panhandle.
Gold - LIBME 2016"
245,Chocolate Coconut Bochet,A Bochet style mead made of burned and caramelized honey with roasted cacao nibs and organic coconut. Aged on toasted oak.
246,Blueberry Frangipane,A melomel made with Florida blueberries and toasted almonds.
247,Huajilla,A traditional style mead using huajilla blossom honey from the Texas scrublands.
248,Cranberry Imperial Session Mead,A semi-sweet melomel featuring copious amounts of fresh cranberries for a tart acidic finish.
249,Star Thistle,A traditional style mead using star thistle blossom honey from the Michigan peninsula.
250,Primordial Soup (DFPF 2.0),A melomel with dragon fruit and passion fruit aged on oak.
251,Amarone Di Tamiami,A mead made with Italian Amarone wine grapes.
252,Coffee Cake,A collaboration with Mostra Coffee. A mead made with coffee and spices.
253,Feel the Bernello,An Italian Brunello Sangiovese pyment accented with Meadowfoam honey and maple syrup for a brown sugar finish and a hint of vanilla.
254,Sage,A traditional style mead using white sage honey from the West Coast.
255,Cilice De Lux,"A melomel made with red currants, raspberries and a blend of cherries with locally produced Florida honey. Finished on imported Luxardo cherries for a… Read More"
256,Chateau D'If,A cyser made with fresh Ohio cider and locally produced honey.
257,Grandma's Strawberry Rhubarb Pie,
258,Yucatan Sunrise,"A mead made from orange blossom honey plus Drafonfruit, Guanabana and Yerba Mate Tea leaves."
259,Cup of Whoa - Yirgacheffe,"A mead made with Ethiopian Adado Yirgacheffe coffee beans from Patriot Coffee Roasters in Lakeland, Florida."
260,Gallberry,A traditional style mead using gallberry blossom honey from Central Florida.
261,Barrel Aged Double Black - Bourbon,A dry black currant and blackberry melomel aged in a used bourbon barrel.
262,Southshore Sangria,"A melomel made with Malbec grapes, tart cherries, apples and fresh Florida citrus."
263,Joe's Giant Technicolor Afro,A honey wine made with blueberries and orange blossom honey accented with cacao nibs. 15%
264,Paradise Currant,Ripcurrant aged on vanilla beans. Parkinsons Foundation Fundraiser 2018.
265,Tupelo Heat,A capsicumel made from Tupelo honey with guajillo and arbol chiles.
266,Italian Chestnut,Dark and imposing. A traditional style mead made from imported Italian Chestnut honey then aged for several months in a rum barrel. The result is a dark… Read More
267,Mead-O-Foam,"A sweet traditional mead made using Meadowfoam honey from the Pacific Northwest.
Silver - LIBME 2016
Bronze - Domras Cup 2017"
268,"It's Not Easy, Being Ely.","A pyment style mead using locally produced honey plus Argentinian Viognier, Riesling and Chardonnay grapes."
269,Relax! Don't Do It. When You Wanna Plum..,A melomel made with red and black plums.
270,Fiya Weed,"A sweet Traditional style mead made with Pacific Northwest Fireweed honey.
Gold - Domras Cup 2017"
271,No Name Mead,"A bochet style mead made with caramelized honey, tart cherries, espresso beans, cacao nibs and datil chiles."
272,Mezclado Two,"A semi-sweet Traditional mead made with a blend Orange Blossom, Tupelo and Meadowfoam honey."
273,Wacky Kujira (Chinese Take Out Menu Label),Do you even whalez bro? An orange blossom traditional style mead aged for several months in a single use bourbon barrel.
274,You'll Shoot Your Eye Out,A metheglin made with orange blossom honey plus peanut butter and cacao nibs.
275,"Bangkok - Anejo (Extra Aged, Brown Bottle)",A ginger and butterfly pea blossom mead aged for additional time on oak.
276,CRG,A mead made with fresh Costa Rican ginger.
277,Susy's De-Lux,"A cherry melomel featuring European and American tart cherries then finished on Luxardo cherries. Made specifically for the Stein & Vine in Brandon, Florida. Read More"
278,Ossor Di Tamiami,A pyment style mead made using locally produced honey and a blend of Italian Rosso Grande wine grapes.
279,Johnny's Folley,Dragon Fruit and Passion Fruit Melomel
280,Oak Tupelo,A sweet traditional style mead using rare Tupelo honey from the Florida panhandle. Aged on American Oak.
281,Apricot Peach,An Apricot and Peach Melomel made with locally produced wildflower honey.
282,Pop Pops Peaches,"An apricot, peach and nectarine mead with graham flavor and cinnamon."
283,Triple Black With Vanilla,
284,Semi Tupelo,A semi-sweet traditional style mead using rare Tupelo honey from the Florida panhandle. Released as part of a four piece set in 2018.
285,Mezclado One,"A sweet traditional mead made from a medley of Tupelo, Orange Blossom, Mesquite, Avocado Blossom and Meadowfoam honeys. Bronze - Texas Mead Cup 2016 Bronze… Read More"
286,Dry Tupelo,A dry traditional style mead using rare Tupelo honey from the Florida panhandle. Released as part of a four piece set in 2018.
287,Sweet Tupelo,A sweet traditional style mead using rare Tupelo honey from the Florida panhandle. Released as part of a four piece set in 2018.
288,Cilice - 2018,"A melomel made with red currants, raspberries and a blend of cherries with locally produced Florida honey. Aged on Bourbon staves for greater depth and… Read More"
289,"You Never Go Full Retard, Well Maybe Just Once..",Cherry Cyser
