,style_id,Super Style,Style,Unnamed: 0,beer_id,name,display_name,abv,year,glass_id,organic,brewery_id,retired,status
51,16.0,British Origin Ales,British-Style Imperial Stout,415.0,3wspDn,Foreign Extra Stout (Ghana),Foreign Extra Stout (Ghana),7.5,,,N,HaPdSL,N,verified
52,16.0,British Origin Ales,British-Style Imperial Stout,914.0,1EDyEY,Smaug's Breath,Smaug's Breath,11.0,,,N,AqEUBQ,N,verified
53,16.0,British Origin Ales,British-Style Imperial Stout,999.0,cvma3B,The Dogfather Imperial Stout - Bourbon Barrel,The Dogfather Imperial Stout - Bourbon Barrel,10.85,,,N,yX6twV,N,verified
54,16.0,British Origin Ales,British-Style Imperial Stout,1029.0,LPQCSx,Trip In The Woods: Tawny Narwhal,Trip In The Woods: Tawny Narwhal,11.4,,,N,nHLlnK,N,verified
55,17.0,British Origin Ales,British-Style Barley Wine Ale,154.0,qUIYuC,Bigfoot,Bigfoot,9.6,,6.0,N,nHLlnK,N,verified
56,17.0,British Origin Ales,British-Style Barley Wine Ale,895.0,N87g0e,Shipwrecker Circus,Shipwrecker Circus,10.5,,,N,q6vJUK,N,verified
57,18.0,British Origin Ales,Brown Porter,60.0,IyyejS,Anubis Imperial Coffee Porter,Anubis Imperial Coffee Porter,8.0,,,N,yX6twV,N,verified
58,18.0,British Origin Ales,Brown Porter,114.0,BdlH6M,Beer Camp: Campout Porter,Beer Camp: Campout Porter (2017),7.7,2017.0,,N,nHLlnK,N,verified
59,18.0,British Origin Ales,Brown Porter,163.0,pkEofb,Black Cat Porter,Black Cat Porter,5.2,,,N,VEY3Xa,N,verified
60,18.0,British Origin Ales,Brown Porter,175.0,fekpJv,Blackstrap Fever,Blackstrap Fever,6.1,,,N,q6vJUK,N,verified
61,18.0,British Origin Ales,Brown Porter,263.0,1t3vFB,Chai Porter,Chai Porter,5.6,,,Y,p1tFbP,N,verified
62,18.0,British Origin Ales,Brown Porter,321.0,ov7fgF,Dank Tank Pulled Porter,Dank Tank Pulled Porter,7.7,,,N,TMc6H2,N,verified
63,18.0,British Origin Ales,Brown Porter,326.0,sqELhU,Dark Knight,Dark Knight,,,,Y,p1tFbP,N,verified
64,18.0,British Origin Ales,Brown Porter,334.0,HXVdFT,Death By Coconut,Death By Coconut,6.5,,,N,q6vJUK,N,verified
65,18.0,British Origin Ales,Brown Porter,446.0,cX0XkP,Fusion 34 Michiganja,Fusion 34 Michiganja,6.7,,,N,nLsoQ9,N,verified
66,18.0,British Origin Ales,Brown Porter,500.0,FAIsfG,Guinness West Indies Porter,Guinness West Indies Porter,6.0,,,N,HaPdSL,N,verified
67,18.0,British Origin Ales,Brown Porter,571.0,fOFhEa,Hotbox Coffee Porter,Hotbox Coffee Porter,6.5,,,N,q6vJUK,N,verified
68,18.0,British Origin Ales,Brown Porter,665.0,u0mJPG,Man Full of Trouble,Man Full of Trouble,5.0,,,N,p3YrOa,N,verified
69,18.0,British Origin Ales,Brown Porter,674.0,tupCCv,Mean Joe Bean,Mean Joe Bean,8.5,,,N,TMc6H2,N,verified
70,18.0,British Origin Ales,Brown Porter,714.0,3PXm6h,Nib Sip Chub,Nib Sip Chub,7.0,,,N,q6vJUK,N,verified
71,18.0,British Origin Ales,Brown Porter,725.0,Cwuozg,Nitro Vanilla Porter (NVP),Nitro Vanilla Porter (NVP),4.7,,,N,IImUD9,N,verified
72,18.0,British Origin Ales,Brown Porter,802.0,UmJ5Wm,Pecan Porter,Pecan Porter,8.0,,,N,yX6twV,N,verified
73,18.0,British Origin Ales,Brown Porter,818.0,0K21pW,Porter,Porter,5.6,,5.0,N,nHLlnK,N,verified
74,18.0,British Origin Ales,Brown Porter,828.0,FMWVLR,Puget Brown Porter,Puget Brown Porter,5.6,,,N,DMU2Kf,N,verified
75,18.0,British Origin Ales,Brown Porter,922.0,Ieu3Wi,Snowday Porter,Snowday Porter,,,,Y,p1tFbP,N,verified
76,18.0,British Origin Ales,Brown Porter,970.0,6owRQn,SweetWater Exodus Porter,SweetWater Exodus Porter,,,5.0,N,TMc6H2,N,verified
77,18.0,British Origin Ales,Brown Porter,1015.0,zsoUNy,Toked Porter,Toked Porter,,,,N,q6vJUK,N,verified
78,18.0,British Origin Ales,Brown Porter,1052.0,Bk34Go,Vanilla Porter,Vanilla Porter,5.4,,5.0,N,IImUD9,N,verified
79,19.0,British Origin Ales,Robust Porter,172.0,NgU9h0,Black Shack Porter,Black Shack Porter,5.3,,5.0,N,DifSi4,N,verified
80,19.0,British Origin Ales,Robust Porter,819.0,aBYXhp,Porter Porter,Porter Porter,7.5,,5.0,N,IImUD9,Y,verified
81,19.0,British Origin Ales,Robust Porter,973.0,FDSQ5n,SweetWater Mean Joe Bean,SweetWater Mean Joe Bean,8.5,,5.0,N,TMc6H2,N,verified
82,20.0,British Origin Ales,Sweet or Cream Stout,59.0,HIuMUM,Antwerpen Stout,Antwerpen Stout,8.0,,,N,HaPdSL,N,verified
83,20.0,British Origin Ales,Sweet or Cream Stout,252.0,qa1QZU,Cappuccino Stout,Cappuccino Stout,8.9,,5.0,N,nLsoQ9,N,verified
84,20.0,British Origin Ales,Sweet or Cream Stout,301.0,BkSzxg,Cream Ale,Cream Ale,5.9,,,Y,p1tFbP,N,verified
85,20.0,British Origin Ales,Sweet or Cream Stout,353.0,LVSSPk,Double Latte - Beer Camp Across America,Double Latte - Beer Camp Across America (2014),7.6,2014.0,5.0,N,nHLlnK,Y,verified
86,20.0,British Origin Ales,Sweet or Cream Stout,495.0,Ia4uJ0,Guinness Milk Stout,Guinness Milk Stout,5.0,,,N,HaPdSL,N,verified
87,20.0,British Origin Ales,Sweet or Cream Stout,521.0,Oawv0J,Hatchery series #4 Chocolate Milk Stout,Hatchery series #4 Chocolate Milk Stout,5.4,,,N,TMc6H2,N,verified
88,20.0,British Origin Ales,Sweet or Cream Stout,680.0,qxNOIk,Milk Stout,Milk Stout,5.8,,5.0,N,DifSi4,N,verified
89,20.0,British Origin Ales,Sweet or Cream Stout,724.0,l4L4RO,Nitro Series: Chocolate Orange Stout,Nitro Series: Chocolate Orange Stout,6.0,,,N,IImUD9,N,verified
90,20.0,British Origin Ales,Sweet or Cream Stout,915.0,FlmKOv,Smidy,Smidy,5.2,,,N,q6vJUK,N,verified
91,20.0,British Origin Ales,Sweet or Cream Stout,1080.0,rRe2jl,Whole Lotta Lov,Whole Lotta Lov,5.4,,,N,VEY3Xa,N,verified
92,20.0,British Origin Ales,Sweet or Cream Stout,1089.0,1B8Hrr,Willettized Imperial Coffee Stout,Willettized Imperial Coffee Stout,12.6,,,N,nLsoQ9,N,verified
93,21.0,British Origin Ales,Oatmeal Stout,740.0,Jio9R0,Oatmeal Stout,Oatmeal Stout,5.0,,5.0,N,IImUD9,N,verified
94,21.0,British Origin Ales,Oatmeal Stout,741.0,1HeKZM,Oatmeal Stout - Beer Camp #45,Oatmeal Stout - Beer Camp #45,9.0,,,N,nHLlnK,N,verified
95,21.0,British Origin Ales,Oatmeal Stout,742.0,qACg0q,Oatmeal Stout ,Oatmeal Stout ,5.5,,,Y,4F7QA9,N,verified
96,21.0,British Origin Ales,Oatmeal Stout,1006.0,eVgnFV,The Poet,The Poet,5.2,,5.0,N,AqEUBQ,N,verified
97,22.0,Irish Origin Ales,Irish-Style Red Ale,184.0,oYED15,Blue Ridge Red,Blue Ridge Red,6.3,,,N,nHLlnK,N,verified
98,22.0,Irish Origin Ales,Irish-Style Red Ale,494.0,c9u7Eo,Guinness Generous Ale,Guinness Generous Ale,5.6,,5.0,N,HaPdSL,N,verified
99,22.0,Irish Origin Ales,Irish-Style Red Ale,505.0,CD9BLy,Harmon Killerbrew,Harmon Killerbrew,7.6,,5.0,N,DMU2Kf,N,verified
100,22.0,Irish Origin Ales,Irish-Style Red Ale,587.0,8zibUO,Imperial Red Ale,Imperial Red Ale,7.6,,5.0,N,DMU2Kf,N,verified
101,22.0,Irish Origin Ales,Irish-Style Red Ale,701.0,Esu28L,Murphy's Law Red Ale,Murphy's Law Red Ale,5.0,,,N,4F7QA9,N,verified
102,22.0,Irish Origin Ales,Irish-Style Red Ale,850.0,O9XhOw,RIPA,RIPA,5.9,,,N,AqEUBQ,N,verified
103,22.0,Irish Origin Ales,Irish-Style Red Ale,890.0,VgbSMs,Selkie,Selkie,4.9,,,N,4F7QA9,N,verified
104,22.0,Irish Origin Ales,Irish-Style Red Ale,893.0,gVuwQ6,Shameless McDale,Shameless McDale,4.8,,5.0,N,941OaA,N,verified
105,22.0,Irish Origin Ales,Irish-Style Red Ale,916.0,9BJRbZ,Smithwick's Premium Red Ale,Smithwick's Premium Red Ale,4.5,,,N,HaPdSL,N,verified
106,23.0,Irish Origin Ales,Classic Irish-Style Dry Stout,397.0,35wxef,Extra Stout,Extra Stout,5.3,,,N,VEY3Xa,N,verified
107,23.0,Irish Origin Ales,Classic Irish-Style Dry Stout,490.0,StkEiv,Guinness Draught,Guinness Draught,4.3,,5.0,N,HaPdSL,N,verified
108,23.0,Irish Origin Ales,Classic Irish-Style Dry Stout,497.0,JfC6wN,Guinness Red Harvest Stout,Guinness Red Harvest Stout,4.1,,5.0,N,HaPdSL,N,verified
109,23.0,Irish Origin Ales,Classic Irish-Style Dry Stout,624.0,FNByFy,Knightro,Knightro,4.6,,,N,nHLlnK,N,verified
110,23.0,Irish Origin Ales,Classic Irish-Style Dry Stout,721.0,YrOqvr,Nitro Irish Stout,Nitro Irish Stout,4.8,,,N,IImUD9,N,verified
111,23.0,Irish Origin Ales,Classic Irish-Style Dry Stout,853.0,6iwkrE,Robert Beedus Jr,Robert Beedus Jr,,,,N,q6vJUK,N,verified
112,24.0,Irish Origin Ales,Foreign (Export)-Style Stout,11.0,MgdJep,200th Anniversary Export Stout,200th Anniversary Export Stout,6.0,,,N,HaPdSL,N,verified
113,24.0,Irish Origin Ales,Foreign (Export)-Style Stout,242.0,dRIuaV,Bulleit Bourbon Ten Fidy,Bulleit Bourbon Ten Fidy,,,,N,q6vJUK,N,verified
114,24.0,Irish Origin Ales,Foreign (Export)-Style Stout,243.0,5ON8OO,Bulleit Bourbon Ten Fidy,Bulleit Bourbon Ten Fidy (2013),11.0,2013.0,,N,q6vJUK,N,verified
115,24.0,Irish Origin Ales,Foreign (Export)-Style Stout,491.0,gkSM7N,Guinness Dublin Porter,Guinness Dublin Porter,3.8,,5.0,N,HaPdSL,N,verified
116,24.0,Irish Origin Ales,Foreign (Export)-Style Stout,493.0,J9xszw,Guinness Foreign Extra,Guinness Foreign Extra,7.5,,5.0,N,HaPdSL,N,verified
117,24.0,Irish Origin Ales,Foreign (Export)-Style Stout,499.0,unQfZE,Guinness Special Export,Guinness Special Export,8.0,,,N,HaPdSL,N,verified
118,25.0,North American Origin Ales,American-Style Pale Ale,2.0,zfP2fK,12th Of Never,12th Of Never,5.5,,,N,nLsoQ9,N,verified
119,25.0,North American Origin Ales,American-Style Pale Ale,25.0,NoNhan,420 Extra Pale Ale,420 Extra Pale Ale,5.4,,5.0,N,TMc6H2,N,verified
120,25.0,North American Origin Ales,American-Style Pale Ale,41.0,svXHfu,A Little Sumpin' Sumpin',A Little Sumpin' Sumpin',7.5,,5.0,N,nLsoQ9,N,verified
121,25.0,North American Origin Ales,American-Style Pale Ale,45.0,RK9Po6,Ale 20,Ale 20,5.7,,,N,nHLlnK,N,verified
122,25.0,North American Origin Ales,American-Style Pale Ale,48.0,DbeLZF,All Colorado Wet Hop Pale Ale,All Colorado Wet Hop Pale Ale,5.8,,,N,q6vJUK,N,verified
123,25.0,North American Origin Ales,American-Style Pale Ale,55.0,b6nCMj,Anniversary Ale,Anniversary Ale,3.8,,,N,VEY3Xa,N,verified
124,25.0,North American Origin Ales,American-Style Pale Ale,69.0,lEPIZg,Audition - Pale Ale,Audition - Pale Ale,6.5,,,N,nHLlnK,N,verified
125,25.0,North American Origin Ales,American-Style Pale Ale,86.0,18Ki63,Barrel Aged Dale's Pale Ale (Makers Mark),Barrel Aged Dale's Pale Ale (Makers Mark),6.5,,,N,q6vJUK,N,verified
126,25.0,North American Origin Ales,American-Style Pale Ale,96.0,PZL75k,Barrel-Aged Thunder Ann,Barrel-Aged Thunder Ann,,,,Y,p1tFbP,N,verified
127,25.0,North American Origin Ales,American-Style Pale Ale,196.0,QdPbTF,Born Yesterday,Born Yesterday,7.5,,,N,nLsoQ9,N,verified
128,25.0,North American Origin Ales,American-Style Pale Ale,256.0,PLnqH7,Celebration Ale 1992,Celebration Ale 1992,,,,N,nHLlnK,N,verified
129,25.0,North American Origin Ales,American-Style Pale Ale,274.0,Z10a03,Chico King - Beer Camp Across America,Chico King - Beer Camp Across America (2014),6.5,2014.0,5.0,N,nHLlnK,N,verified
130,25.0,North American Origin Ales,American-Style Pale Ale,283.0,yQqOSf,Citra Pale Ale,Citra Pale Ale,,,,Y,p1tFbP,N,verified
131,25.0,North American Origin Ales,American-Style Pale Ale,285.0,8pAabO,CitruSinensis,CitruSinensis,7.9,,,Y,nLsoQ9,N,verified
132,25.0,North American Origin Ales,American-Style Pale Ale,296.0,ehb1eB,Country Pale Ale,Country Pale Ale,5.1,,5.0,N,DifSi4,N,verified
133,25.0,North American Origin Ales,American-Style Pale Ale,303.0,537zpn,Credits & Debits,Credits & Debits,5.0,,,N,AqEUBQ,N,verified
134,25.0,North American Origin Ales,American-Style Pale Ale,311.0,iT9pf4,Dale's Pale Ale,Dale's Pale Ale,6.5,,5.0,N,q6vJUK,N,verified
135,25.0,North American Origin Ales,American-Style Pale Ale,312.0,2ADEYR,Dale's Pale Ale Nitro,Dale's Pale Ale Nitro,6.5,,,N,q6vJUK,N,verified
136,25.0,North American Origin Ales,American-Style Pale Ale,313.0,JDzrBR,Dales Dry Hop Equinox,Dales Dry Hop Equinox,6.5,,,N,q6vJUK,N,verified
137,25.0,North American Origin Ales,American-Style Pale Ale,314.0,vXifKs,Dales T45 Dry Hop,Dales T45 Dry Hop,6.5,,,N,q6vJUK,N,verified
138,25.0,North American Origin Ales,American-Style Pale Ale,315.0,XrRTUJ,Dales T90 Dry Hop,Dales T90 Dry Hop,6.5,,,N,q6vJUK,N,verified
139,25.0,North American Origin Ales,American-Style Pale Ale,371.0,4GgbWG,Draught-Style Pale Ale,Draught-Style Pale Ale,5.0,,,N,nHLlnK,N,verified
140,25.0,North American Origin Ales,American-Style Pale Ale,387.0,DGhJbX,Equinox,Equinox,8.4,,,Y,nLsoQ9,N,verified
141,25.0,North American Origin Ales,American-Style Pale Ale,390.0,TavGRG,ESB - Early Spring Beer,ESB - Early Spring Beer,5.9,,5.0,N,nHLlnK,N,verified
142,25.0,North American Origin Ales,American-Style Pale Ale,409.0,9Ylplt,Fistful of Hops,Fistful of Hops,6.2,,,N,nHLlnK,N,verified
143,25.0,North American Origin Ales,American-Style Pale Ale,416.0,3nrJLN,Four Hopsmen - Comet Dry Hopped,Four Hopsmen - Comet Dry Hopped,5.2,,,N,q6vJUK,N,verified
144,25.0,North American Origin Ales,American-Style Pale Ale,417.0,g7a7Uo,Four Hopsmen - HBC 472,Four Hopsmen - HBC 472,5.2,,,N,q6vJUK,N,verified
145,25.0,North American Origin Ales,American-Style Pale Ale,418.0,IRIveF,Four Hopsmen - Hop Head Farms Eperimental Dry Hopped,Four Hopsmen - Hop Head Farms Eperimental Dry Hopped,5.2,,,N,q6vJUK,N,verified
146,25.0,North American Origin Ales,American-Style Pale Ale,419.0,ul1jng,Four Hopsmen - Mandarina Bavaria Dry Hopped,Four Hopsmen - Mandarina Bavaria Dry Hopped,5.2,,,N,q6vJUK,N,verified
147,25.0,North American Origin Ales,American-Style Pale Ale,448.0,GNtxMV,Fusion 39,Fusion 39,5.5,,,N,nLsoQ9,N,verified
148,25.0,North American Origin Ales,American-Style Pale Ale,469.0,FocTXx,Goofer Dust,Goofer Dust,6.1,,,Y,q6vJUK,N,verified
149,25.0,North American Origin Ales,American-Style Pale Ale,482.0,avUZok,Ground Score,Ground Score,7.1,,,N,TMc6H2,N,verified
150,25.0,North American Origin Ales,American-Style Pale Ale,508.0,eIZS7k,Harvest Ale,Harvest Ale,6.5,,5.0,N,nHLlnK,Y,verified
151,25.0,North American Origin Ales,American-Style Pale Ale,509.0,GGaceU,Harvest Ale 2007,Harvest Ale 2007,6.7,,5.0,N,nHLlnK,N,verified
152,25.0,North American Origin Ales,American-Style Pale Ale,547.0,JOxnlJ,Hop Dog Harvest Pale Ale,Hop Dog Harvest Pale Ale,6.2,,8.0,N,yX6twV,N,verified
153,25.0,North American Origin Ales,American-Style Pale Ale,596.0,gVynTw,India Pale Ale,India Pale Ale,6.8,,,N,nHLlnK,N,verified
154,25.0,North American Origin Ales,American-Style Pale Ale,616.0,xw3Nti,Karaoke Fail,Karaoke Fail,6.7,,,N,nHLlnK,N,verified
155,25.0,North American Origin Ales,American-Style Pale Ale,630.0,DwGaaX,Lagunitas Undercover Investigation Shut-Down Ale,Lagunitas Undercover Investigation Shut-Down Ale,9.6,,5.0,N,nLsoQ9,N,verified
156,25.0,North American Origin Ales,American-Style Pale Ale,634.0,QNucGY,Left Behind,Left Behind,,,,Y,p1tFbP,N,verified
157,25.0,North American Origin Ales,American-Style Pale Ale,644.0,jshi8D,Little Sumpin’ Wild,Little Sumpin’ Wild,8.74,,5.0,N,nLsoQ9,N,verified
158,25.0,North American Origin Ales,American-Style Pale Ale,645.0,XDaNfi,Little Wolf,Little Wolf,4.7,,,N,VEY3Xa,N,verified
159,25.0,North American Origin Ales,American-Style Pale Ale,667.0,dS0wsG,Mango Mosaic Pale Ale,Mango Mosaic Pale Ale,5.5,,,N,IImUD9,N,verified
160,25.0,North American Origin Ales,American-Style Pale Ale,675.0,2z4qK8,Michigan Awesome Hatter,Michigan Awesome Hatter,5.8,,5.0,N,AqEUBQ,N,verified
161,25.0,North American Origin Ales,American-Style Pale Ale,695.0,YWt2Ld,Moving To the Country,Moving To the Country,5.0,,,N,TMc6H2,N,verified
162,25.0,North American Origin Ales,American-Style Pale Ale,710.0,eI5fN2,New Dogtown Pale Ale,New Dogtown Pale Ale,6.2,,5.0,N,nLsoQ9,N,verified
163,25.0,North American Origin Ales,American-Style Pale Ale,757.0,jChDlj,Old Chico Crystal Wheat,Old Chico Crystal Wheat,4.8,,5.0,N,nHLlnK,N,verified
164,25.0,North American Origin Ales,American-Style Pale Ale,787.0,fQSwqJ,Pacific Ridge Pale Ale,Pacific Ridge Pale Ale,,,,N,BznahA,N,verified
165,25.0,North American Origin Ales,American-Style Pale Ale,788.0,rbRRxm,Palé,Palé,7.1,,,N,AqEUBQ,N,verified
166,25.0,North American Origin Ales,American-Style Pale Ale,789.0,cdkpyx,Pale Ale,Pale Ale,5.6,,5.0,N,nHLlnK,N,verified
167,25.0,North American Origin Ales,American-Style Pale Ale,790.0,CZn6nT,Pale Ale,Pale Ale,5.6,,,N,yX6twV,N,verified
168,25.0,North American Origin Ales,American-Style Pale Ale,791.0,bnURKM,Paleooza,Paleooza,4.4,,5.0,N,AqEUBQ,N,verified
169,25.0,North American Origin Ales,American-Style Pale Ale,796.0,QkHinm,Passion Grass,Passion Grass,5.0,,,N,nLsoQ9,N,verified
170,25.0,North American Origin Ales,American-Style Pale Ale,797.0,Y9X4cN,Pat-Rye-Ot,Pat-Rye-Ot,5.6,,,N,nHLlnK,N,verified
171,25.0,North American Origin Ales,American-Style Pale Ale,809.0,0j4t2Z,Pinnacle Peak Pale Ale,Pinnacle Peak Pale Ale,4.2,,,N,DMU2Kf,N,verified
172,25.0,North American Origin Ales,American-Style Pale Ale,826.0,NQwb75,Puck American Pale Ale,Puck American Pale Ale,5.2,,,Y,p1tFbP,N,verified
173,25.0,North American Origin Ales,American-Style Pale Ale,898.0,LB8JzL,Sidecar Orange Pale Ale,Sidecar Orange Pale Ale,5.6,,,N,nHLlnK,N,verified
